cfmt_plus,efct_inverted,efct_upright,gfmt,kfmt,one_in_ten,pict
0.5686274509803921,0.5952380952380952,0.7619047619047619,0.717948718,0.45,0.4625,0.625
0.5294117647058824,0.5238095238095238,0.5595238095238095,0.5384615384615384,0.475,0.4625,0.625
0.6274509803921569,0.6190476190476191,0.7976190476190477,0.9230769230769232,0.725,0.6875,0.725
0.6372549019607843,0.5357142857142857,0.6785714285714286,0.6410256410256411,0.475,0.45,0.475
0.803921569,0.5714285714285714,0.7261904761904762,0.7435897435897436,0.725,0.6625,0.525
0.6274509803921569,0.6071428571428571,0.8333333333333334,0.8461538461538461,0.575,0.525,0.6
0.7352941176470589,0.6428571428571429,0.75,0.9743589743589745,0.6,0.8375,0.525
0.7058823529411765,0.8809523809523809,0.8571428571428571,0.9487179487179488,0.7,0.525,0.725
0.5098039215686274,0.6785714285714286,0.7380952380952381,0.8205128205128205,0.575,0.8125,0.625
0.6372549019607843,0.5238095238095238,0.7619047619047619,0.7692307692307693,0.525,0.3375,0.65
0.7941176470588235,0.6904761904761905,0.8333333333333334,0.9230769230769232,0.85,0.6875,0.825
0.6764705882352942,0.5595238095238095,0.7738095238095238,0.8974358974358975,0.625,0.425,0.7
0.5686274509803921,0.5119047619047619,0.6547619047619048,0.5641025641025641,0.675,0.375,0.75
0.696078431,0.5952380952380952,0.75,0.9230769230769232,0.575,0.7375,0.5
0.7647058823529411,0.5476190476190477,0.6547619047619048,0.7692307692307693,0.525,0.7,0.425
0.5490196078431373,0.5952380952380952,0.75,0.8461538461538461,0.6,0.2625,0.675
0.4313725490196078,0.4880952380952381,0.6309523809523809,0.6923076923076923,0.425,0.5,0.575
0.803921569,0.6785714285714286,0.7857142857142857,0.9487179487179488,0.75,0.725,0.775
0.7745098039215687,0.5238095238095238,0.7261904761904762,0.8205128205128205,0.6,0.6125,0.5
0.6274509803921569,0.6428571428571429,0.7976190476190477,0.9487179487179488,0.75,0.7,0.5
0.5098039215686274,0.5833333333333334,0.6428571428571429,0.6923076923076923,0.5,0.4375,0.65
0.8921568627450981,0.6547619047619048,0.7142857142857143,0.8717948717948718,0.75,0.85,0.6
