PID,PID_Sex,PID_Age,Manipulation,combined_info,score
72,Female,18,Masculinity,102_Manipulated,0
73,Female,19,Masculinity,102_Manipulated,0
74,Female,18,Masculinity,102_Manipulated,0
75,Female,20,Masculinity,102_Manipulated,0
76,Female,18,Masculinity,102_Manipulated,2
77,Female,20,Masculinity,102_Manipulated,6
78,Female,19,Masculinity,102_Manipulated,3
79,Female,20,Masculinity,102_Manipulated,3
80,Female,20,Masculinity,102_Manipulated,5
81,Female,18,Masculinity,102_Manipulated,3
82,Female,20,Masculinity,102_Manipulated,0
83,Female,18,Masculinity,102_Manipulated,0
84,Female,19,Masculinity,102_Manipulated,0
85,Female,19,Masculinity,102_Manipulated,3
86,Male,18,Masculinity,102_Manipulated,0
87,Female,18,Masculinity,102_Manipulated,2
88,Female,18,Masculinity,102_Manipulated,0
89,Female,39,Masculinity,102_Manipulated,0
90,Female,18,Masculinity,102_Manipulated,0
91,Male,19,Masculinity,102_Manipulated,2
92,Female,20,Masculinity,102_Manipulated,3
103,Female,18,Symmetry,102_Manipulated,6
106,Female,19,Symmetry,102_Manipulated,3
106,Male,22,Symmetry,102_Manipulated,0
109,Male,20,Symmetry,102_Manipulated,0
112,Female,18,Symmetry,102_Manipulated,0
115,Female,18,Symmetry,102_Manipulated,4
118,Female,19,Symmetry,102_Manipulated,0
121,Female,18,Symmetry,102_Manipulated,2
124,Female,19,Symmetry,102_Manipulated,4
127,Female,19,Symmetry,102_Manipulated,0
130,Female,19,Symmetry,102_Manipulated,1
133,Female,21,Symmetry,102_Manipulated,0
136,Male,20,Symmetry,102_Manipulated,3
139,Female,19,Symmetry,102_Manipulated,0
142,Female,19,Symmetry,102_Manipulated,0
145,Male,18,Symmetry,102_Manipulated,2
148,Male,22,Symmetry,102_Manipulated,3
151,Male,20,Symmetry,102_Manipulated,1
154,Male,21,Symmetry,102_Manipulated,2
157,Male,19,Symmetry,102_Manipulated,0
160,Male,19,Symmetry,102_Manipulated,1
163,Male,21,Symmetry,102_Manipulated,0
166,Male,18,Symmetry,102_Manipulated,1
169,Male,21,Symmetry,102_Manipulated,1
172,Female,19,Symmetry,102_Manipulated,4
175,Male,21,Symmetry,102_Manipulated,3
178,Male,20,Symmetry,102_Manipulated,0
181,Female,22,Symmetry,102_Manipulated,0
184,Female,21,Symmetry,102_Manipulated,5
187,Female,19,Symmetry,102_Manipulated,3
190,Male,19,Symmetry,102_Manipulated,0
193,Female,22,Symmetry,102_Manipulated,4
196,Female,20,Symmetry,102_Manipulated,0
199,Female,19,Symmetry,102_Manipulated,0
202,Female,19,Symmetry,102_Manipulated,0
205,Female,22,Symmetry,102_Manipulated,0
208,Female,18,Symmetry,102_Manipulated,0
211,Female,18,Symmetry,102_Manipulated,4
214,Female,20,Symmetry,102_Manipulated,0
217,Female,19,Symmetry,102_Manipulated,0
220,Male,21,Symmetry,102_Manipulated,0
275,Male,20,Symmetry,102_Manipulated,2
102,Female,19,Averageness,102_None,0
105,Female,19,Averageness,102_None,0
108,Male,19,Averageness,102_None,0
111,Female,19,Averageness,102_None,0
114,Male,19,Averageness,102_None,0
117,Female,19,Averageness,102_None,2
120,Female,19,Averageness,102_None,0
123,Male,19,Averageness,102_None,0
126,Male,21,Averageness,102_None,0
129,Female,19,Averageness,102_None,5
132,Female,19,Averageness,102_None,0
135,Female,19,Averageness,102_None,0
138,Male,19,Averageness,102_None,2
141,Female,22,Averageness,102_None,2
144,Male,19,Averageness,102_None,2
147,Female,19,Averageness,102_None,6
150,Male,19,Averageness,102_None,0
153,Male,18,Averageness,102_None,0
156,Male,18,Averageness,102_None,0
159,Female,19,Averageness,102_None,2
162,Female,19,Averageness,102_None,0
165,Female,18,Averageness,102_None,0
168,Male,20,Averageness,102_None,2
171,Male,19,Averageness,102_None,2
174,Male,21,Averageness,102_None,1
177,Female,22,Averageness,102_None,1
180,Female,19,Averageness,102_None,5
183,Male,20,Averageness,102_None,3
186,Female,21,Averageness,102_None,0
189,Female,19,Averageness,102_None,2
192,Female,20,Averageness,102_None,0
195,Female,19,Averageness,102_None,0
198,Female,19,Averageness,102_None,2
201,Female,20,Averageness,102_None,0
204,Female,20,Averageness,102_None,0
207,Female,18,Averageness,102_None,0
210,Female,19,Averageness,102_None,4
213,Male,19,Averageness,102_None,2
216,Female,21,Averageness,102_None,2
219,Female,18,Averageness,102_None,0
222,Female,21,Averageness,102_None,0
101,Female,21,Femininity,102_None,0
104,Female,18,Femininity,102_None,2
110,Female,19,Femininity,102_None,2
113,Female,18,Femininity,102_None,3
116,Female,18,Femininity,102_None,5
119,Female,20,Femininity,102_None,0
122,Female,20,Femininity,102_None,1
125,Male,19,Femininity,102_None,6
128,Female,19,Femininity,102_None,2
131,Female,18,Femininity,102_None,0
134,Female,18,Femininity,102_None,0
137,Female,19,Femininity,102_None,3
140,Female,19,Femininity,102_None,2
143,Female,18,Femininity,102_None,5
146,Female,19,Femininity,102_None,3
149,Female,18,Femininity,102_None,0
152,Male,19,Femininity,102_None,0
155,Male,19,Femininity,102_None,0
158,Male,19,Femininity,102_None,0
161,Male,19,Femininity,102_None,0
164,Female,20,Femininity,102_None,0
167,Male,19,Femininity,102_None,0
170,Male,19,Femininity,102_None,2
173,Male,19,Femininity,102_None,1
176,Female,22,Femininity,102_None,0
179,Male,20,Femininity,102_None,1
182,Male,18,Femininity,102_None,4
185,Female,22,Femininity,102_None,1
188,Female,21,Femininity,102_None,0
191,Female,21,Femininity,102_None,0
194,Male,18,Femininity,102_None,0
197,Female,21,Femininity,102_None,3
200,Male,20,Femininity,102_None,0
203,Female,19,Femininity,102_None,4
206,Male,20,Femininity,102_None,0
209,Male,20,Femininity,102_None,2
212,Male,22,Femininity,102_None,2
215,Female,20,Femininity,102_None,3
218,Male,18,Femininity,102_None,5
221,Male,19,Femininity,102_None,3
224,Male,20,Femininity,102_None,2
43,Male,34,Masculinity,102_None,4
44,Female,19,Masculinity,102_None,0
45,Male,20,Masculinity,102_None,4
46,Female,19,Masculinity,102_None,2
47,Female,19,Masculinity,102_None,0
48,Female,20,Masculinity,102_None,0
49,Male,23,Masculinity,102_None,0
50,Female,19,Masculinity,102_None,0
51,Female,19,Masculinity,102_None,0
52,Female,22,Masculinity,102_None,4
53,Female,19,Masculinity,102_None,3
