PID,PID_Sex,PID_Age,Manipulation,combined_info,score,face_id,condition
212,Male,22,Femininity,102_Manipulated,,102,Manipulated
215,Female,20,Femininity,102_Manipulated,,102,Manipulated
218,Male,18,Femininity,102_Manipulated,,102,Manipulated
221,Male,19,Femininity,102_Manipulated,,102,Manipulated
224,Male,20,Femininity,102_Manipulated,,102,Manipulated
43,Male,34,Masculinity,102_Manipulated,,102,Manipulated
44,Female,19,Masculinity,102_Manipulated,5.0,102,Manipulated
45,Male,20,Masculinity,102_Manipulated,,102,Manipulated
46,Female,19,Masculinity,102_Manipulated,,102,Manipulated
47,Female,19,Masculinity,102_Manipulated,3.0,102,Manipulated
48,Female,20,Masculinity,102_Manipulated,1.0,102,Manipulated
49,Male,23,Masculinity,102_Manipulated,3.0,102,Manipulated
50,Female,19,Masculinity,102_Manipulated,2.0,102,Manipulated
51,Female,19,Masculinity,102_Manipulated,4.0,102,Manipulated
52,Female,22,Masculinity,102_Manipulated,,102,Manipulated
53,Female,19,Masculinity,102_Manipulated,,102,Manipulated
54,Male,19,Masculinity,102_Manipulated,,102,Manipulated
55,Female,20,Masculinity,102_Manipulated,5.0,102,Manipulated
56,Female,20,Masculinity,102_Manipulated,,102,Manipulated
57,Female,19,Masculinity,102_Manipulated,5.0,102,Manipulated
58,Male,18,Masculinity,102_Manipulated,2.0,102,Manipulated
59,Male,31,Masculinity,102_Manipulated,,102,Manipulated
60,Male,19,Masculinity,102_Manipulated,4.0,102,Manipulated
61,Female,41,Masculinity,102_Manipulated,2.0,102,Manipulated
62,Female,19,Masculinity,102_Manipulated,4.0,102,Manipulated
63,Female,24,Masculinity,102_Manipulated,,102,Manipulated
64,Female,19,Masculinity,102_Manipulated,4.0,102,Manipulated
65,Female,20,Masculinity,102_Manipulated,,102,Manipulated
66,Male,21,Masculinity,102_Manipulated,4.0,102,Manipulated
67,Female,34,Masculinity,102_Manipulated,,102,Manipulated
68,Male,18,Masculinity,102_Manipulated,,102,Manipulated
69,Female,19,Masculinity,102_Manipulated,,102,Manipulated
70,Female,19,Masculinity,102_Manipulated,3.0,102,Manipulated
71,Female,18,Masculinity,102_Manipulated,4.0,102,Manipulated
72,Female,18,Masculinity,102_Manipulated,,102,Manipulated
73,Female,19,Masculinity,102_Manipulated,,102,Manipulated
74,Female,18,Masculinity,102_Manipulated,,102,Manipulated
75,Female,20,Masculinity,102_Manipulated,,102,Manipulated
76,Female,18,Masculinity,102_Manipulated,2.0,102,Manipulated
77,Female,20,Masculinity,102_Manipulated,6.0,102,Manipulated
78,Female,19,Masculinity,102_Manipulated,3.0,102,Manipulated
79,Female,20,Masculinity,102_Manipulated,3.0,102,Manipulated
80,Female,20,Masculinity,102_Manipulated,5.0,102,Manipulated
81,Female,18,Masculinity,102_Manipulated,3.0,102,Manipulated
82,Female,20,Masculinity,102_Manipulated,,102,Manipulated
83,Female,18,Masculinity,102_Manipulated,,102,Manipulated
84,Female,19,Masculinity,102_Manipulated,,102,Manipulated
85,Female,19,Masculinity,102_Manipulated,3.0,102,Manipulated
86,Male,18,Masculinity,102_Manipulated,,102,Manipulated
87,Female,18,Masculinity,102_Manipulated,2.0,102,Manipulated
88,Female,18,Masculinity,102_Manipulated,,102,Manipulated
89,Female,39,Masculinity,102_Manipulated,,102,Manipulated
90,Female,18,Masculinity,102_Manipulated,,102,Manipulated
91,Male,19,Masculinity,102_Manipulated,2.0,102,Manipulated
92,Female,20,Masculinity,102_Manipulated,3.0,102,Manipulated
103,Female,18,Symmetry,102_Manipulated,6.0,102,Manipulated
106,Female,19,Symmetry,102_Manipulated,3.0,102,Manipulated
106,Male,22,Symmetry,102_Manipulated,,102,Manipulated
109,Male,20,Symmetry,102_Manipulated,,102,Manipulated
112,Female,18,Symmetry,102_Manipulated,,102,Manipulated
115,Female,18,Symmetry,102_Manipulated,4.0,102,Manipulated
118,Female,19,Symmetry,102_Manipulated,,102,Manipulated
121,Female,18,Symmetry,102_Manipulated,2.0,102,Manipulated
124,Female,19,Symmetry,102_Manipulated,4.0,102,Manipulated
127,Female,19,Symmetry,102_Manipulated,,102,Manipulated
130,Female,19,Symmetry,102_Manipulated,1.0,102,Manipulated
133,Female,21,Symmetry,102_Manipulated,,102,Manipulated
136,Male,20,Symmetry,102_Manipulated,3.0,102,Manipulated
139,Female,19,Symmetry,102_Manipulated,,102,Manipulated
142,Female,19,Symmetry,102_Manipulated,,102,Manipulated
145,Male,18,Symmetry,102_Manipulated,2.0,102,Manipulated
148,Male,22,Symmetry,102_Manipulated,3.0,102,Manipulated
